Id,unicef_region,iso3,country,vaccine,Ano,Taxa
1,Latin America & Caribbean,BRA,Brazil,BCG,2018,90
2,Latin America & Caribbean,BRA,Brazil,DTP1,2018,87
3,Latin America & Caribbean,BRA,Brazil,DTP3,2018,83
4,Latin America & Caribbean,BRA,Brazil,HEPB3,2018,83
5,Latin America & Caribbean,BRA,Brazil,HEPBB,2018,80
6,Latin America & Caribbean,BRA,Brazil,HIB3,2018,83
7,Latin America & Caribbean,BRA,Brazil,IPV1,2018,89
8,Latin America & Caribbean,BRA,Brazil,MCV1,2018,84
9,Latin America & Caribbean,BRA,Brazil,MCV2,2018,69
10,Latin America & Caribbean,BRA,Brazil,PCV3,2018,84
11,Latin America & Caribbean,BRA,Brazil,POL3,2018,85
12,Latin America & Caribbean,BRA,Brazil,RCV1,2018,84
13,Latin America & Caribbean,BRA,Brazil,ROTAC,2018,80
14,Latin America & Caribbean,BRA,Brazil,YFV,2018,51
15,Latin America & Caribbean,BRA,Brazil,BCG,2017,90
16,Latin America & Caribbean,BRA,Brazil,DTP1,2017,99
17,Latin America & Caribbean,BRA,Brazil,DTP3,2017,89
18,Latin America & Caribbean,BRA,Brazil,HEPB3,2017,93
19,Latin America & Caribbean,BRA,Brazil,HEPBB,2017,80
20,Latin America & Caribbean,BRA,Brazil,HIB3,2017,93
21,Latin America & Caribbean,BRA,Brazil,IPV1,2017,99
22,Latin America & Caribbean,BRA,Brazil,MCV1,2017,91
23,Latin America & Caribbean,BRA,Brazil,MCV2,2017,76
24,Latin America & Caribbean,BRA,Brazil,PCV3,2017,84
25,Latin America & Caribbean,BRA,Brazil,POL3,2017,75
26,Latin America & Caribbean,BRA,Brazil,RCV1,2017,91
27,Latin America & Caribbean,BRA,Brazil,ROTAC,2017,70
28,Latin America & Caribbean,BRA,Brazil,YFV,2017,55
29,Latin America & Caribbean,BRA,Brazil,BCG,2016,90
30,Latin America & Caribbean,BRA,Brazil,DTP1,2016,95
31,Latin America & Caribbean,BRA,Brazil,DTP3,2016,89
32,Latin America & Caribbean,BRA,Brazil,HEPB3,2016,89
33,Latin America & Caribbean,BRA,Brazil,HEPBB,2016,82
34,Latin America & Caribbean,BRA,Brazil,HIB3,2016,89
35,Latin America & Caribbean,BRA,Brazil,IPV1,2016,80
36,Latin America & Caribbean,BRA,Brazil,MCV1,2016,95
37,Latin America & Caribbean,BRA,Brazil,MCV2,2016,77
38,Latin America & Caribbean,BRA,Brazil,PCV3,2016,84
39,Latin America & Caribbean,BRA,Brazil,POL3,2016,72
40,Latin America & Caribbean,BRA,Brazil,RCV1,2016,95
41,Latin America & Caribbean,BRA,Brazil,ROTAC,2016,88
42,Latin America & Caribbean,BRA,Brazil,YFV,2016,43
43,Latin America & Caribbean,BRA,Brazil,BCG,2015,99
44,Latin America & Caribbean,BRA,Brazil,DTP1,2015,97
45,Latin America & Caribbean,BRA,Brazil,DTP3,2015,96
46,Latin America & Caribbean,BRA,Brazil,HEPB3,2015,96
47,Latin America & Caribbean,BRA,Brazil,HEPBB,2015,91
48,Latin America & Caribbean,BRA,Brazil,HIB3,2015,96
49,Latin America & Caribbean,BRA,Brazil,IPV1,2015,97
50,Latin America & Caribbean,BRA,Brazil,MCV1,2015,96
51,Latin America & Caribbean,BRA,Brazil,MCV2,2015,80
52,Latin America & Caribbean,BRA,Brazil,PCV3,2015,94
53,Latin America & Caribbean,BRA,Brazil,POL3,2015,98
54,Latin America & Caribbean,BRA,Brazil,RCV1,2015,96
55,Latin America & Caribbean,BRA,Brazil,ROTAC,2015,94
56,Latin America & Caribbean,BRA,Brazil,YFV,2015,46
57,Latin America & Caribbean,BRA,Brazil,BCG,2014,99
