Id;Disease
17601;Multiple epiphyseal dysplasia, Al-Gazali type
2;Alexander disease
3;Alpha-mannosidosis
5;Aspartylglucosaminuria
17604;Brachydactyly-short stature-retinitis pigmentosa syndrome
6;Multiple sulfatase deficiency
7;Beta-mannosidosis
8;Canavan disease
17608;Pontocerebellar hypoplasia type 4
11;Cystinosis
12;Farber disease
13;Fucosidosis
14;Glycogen storage disease due to acid maltase deficiency
15;Glycogen storage disease due to glycogen debranching enzyme deficiency
17;Glycogen storage disease due to muscle glycogen phosphorylase deficiency
16;Glycogen storage disease due to glycogen branching enzyme deficiency
17618;Stickler syndrome type 3
19;Glycogen storage disease due to muscle phosphofructokinase deficiency
18;Glycogen storage disease due to liver glycogen phosphorylase deficiency
21;Paroxysmal nocturnal hemoglobinuria
17620;Intellectual disability, Birk-Barel type
17621;Bazex syndrome
23;Rare cutaneous lupus erythematosus
17622;Isolated osteopoikilosis
22;Krabbe disease
24;Mucopolysaccharidosis type 6
17626;Odontochondrodysplasia
27;Mucolipidosis type II
17627;Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia
26;Sialidosis type 1
29;Mucolipidosis type IV
28;Mucolipidosis type III
38;Sandhoff disease
39;Scleroderma
42;Recessive X-linked ichthyosis
40;Mucopolysaccharidosis type 7
44;Turner syndrome
45;Friedreich ataxia
51;Beta-thalassemia
50;Alpha-thalassemia
49;Cystic fibrosis
55;Duchenne and Becker muscular dystrophy
59;Emery-Dreifuss muscular dystrophy
63;MELAS
62;Facioscapulohumeral dystrophy
61;Kearns-Sayre syndrome
64;MERRF
65;Central core disease
17538;Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease
76;Paramyotonia congenita of Von Eulenburg
77;Steinert myotonic dystrophy
17551;X-linked intellectual disability, Najm type
17550;Atopic keratoconjunctivitis
75;Thomsen and Becker disease
17556;X-linked dominant chondrodysplasia, Chassaing-Lacombe type
17557;X-linked intellectual disability, Cilliers type
17558;X-linked intellectual disability, Van Esch type
17559;X-linked intellectual disability-craniofacioskeletal syndrome
17554;X-linked intellectual disability, Nascimento type
17555;X-linked cerebral-cerebellar-coloboma syndrome
94;Fabry disease
17561;Hyperekplexia-epilepsy syndrome
91;Rett syndrome
90;Angelman syndrome
102;Juvenile myoclonic epilepsy
101;Juvenile absence epilepsy
99;Von Hippel-Lindau disease
97;Autosomal recessive polycystic kidney disease
110;CHARGE syndrome
109;Marfan syndrome
106;Amyotrophic lateral sclerosis
104;Ataxia-telangiectasia
105;Familial adenomatous polyposis
118;Huntington disease
117;Lafora disease
116;Down syndrome
112;Metachromatic leukodystrophy
17598;Multiple epiphyseal dysplasia, Beighton type
126;22q11.2 deletion syndrome
17599;Multiple epiphyseal dysplasia, Lowry type
125;Sickle cell anemia
17597;Multiple epiphyseal dysplasia due to collagen 9 anomaly
