country,year,suicides_no,population,suicides/100k pop,HDI for year,gdp_for_year ($),gdp_per_capita ($),Id
Albania,1987,21,312900,6.71,,2.156.624.900,796,1
Albania,1987,16,308000,5.19,,2.156.624.900,796,2
Albania,1987,14,289700,4.83,,2.156.624.900,796,3
Albania,1987,1,21800,4.59,,2.156.624.900,796,4
Albania,1987,9,274300,3.28,,2.156.624.900,796,5
Albania,1987,1,35600,2.81,,2.156.624.900,796,6
Albania,1987,6,278800,2.15,,2.156.624.900,796,7
Albania,1987,4,257200,1.56,,2.156.624.900,796,8
Albania,1987,1,137500,0.73,,2.156.624.900,796,9
Albania,1987,0,311000,0,,2.156.624.900,796,10
Albania,1987,0,144600,0,,2.156.624.900,796,11
Albania,1987,0,338200,0,,2.156.624.900,796,12
Albania,1988,2,36400,5.49,,2.126.000.000,769,13
Albania,1988,17,319200,5.33,,2.126.000.000,769,14
Albania,1988,1,22300,4.48,,2.126.000.000,769,15
Albania,1988,14,314100,4.46,,2.126.000.000,769,16
Albania,1988,4,140200,2.85,,2.126.000.000,769,17
Albania,1988,8,295600,2.71,,2.126.000.000,769,18
Albania,1988,3,147500,2.03,,2.126.000.000,769,19
Albania,1988,5,262400,1.91,,2.126.000.000,769,20
Albania,1988,5,279900,1.79,,2.126.000.000,769,21
Albania,1988,4,284500,1.41,,2.126.000.000,769,22
Albania,1988,0,317200,0,,2.126.000.000,769,23
Albania,1988,0,345000,0,,2.126.000.000,769,24
Albania,1989,2,22500,8.89,,2.335.124.988,833,25
Albania,1989,18,283600,6.35,,2.335.124.988,833,26
Albania,1989,15,318400,4.71,,2.335.124.988,833,27
Albania,1989,6,142100,4.22,,2.335.124.988,833,28
Albania,1989,12,323500,3.71,,2.335.124.988,833,29
Albania,1989,7,288600,2.43,,2.335.124.988,833,30
Albania,1989,5,299900,1.67,,2.335.124.988,833,31
Albania,1989,2,266300,0.75,,2.335.124.988,833,32
Albania,1989,1,149600,0.67,,2.335.124.988,833,33
Albania,1989,0,321900,0,,2.335.124.988,833,34
Albania,1989,0,37000,0,,2.335.124.988,833,35
Albania,1989,0,349700,0,,2.335.124.988,833,36
Albania,1992,12,343800,3.49,,709.452.584,251,37
Albania,1992,9,263700,3.41,,709.452.584,251,38
Albania,1992,5,159500,3.13,,709.452.584,251,39
Albania,1992,7,245500,2.85,,709.452.584,251,40
Albania,1992,7,292400,2.39,,709.452.584,251,41
Albania,1992,4,267400,1.5,,709.452.584,251,42
Albania,1992,2,323100,0.62,,709.452.584,251,43
Albania,1992,1,164900,0.61,,709.452.584,251,44
Albania,1992,0,336700,0,,709.452.584,251,45
Albania,1992,0,38700,0,,709.452.584,251,46
Albania,1992,0,362900,0,,709.452.584,251,47
Albania,1992,0,23900,0,,709.452.584,251,48
Albania,1993,18,243300,7.4,,1.228.071.038,437,49
Albania,1993,7,165000,4.24,,1.228.071.038,437,50
Albania,1993,1,24200,4.13,,1.228.071.038,437,51
Albania,1993,9,230100,3.91,,1.228.071.038,437,52
Albania,1993,10,285300,3.51,,1.228.071.038,437,53
Albania,1993,10,350300,2.85,,1.228.071.038,437,54
Albania,1993,7,261800,2.67,,1.228.071.038,437,55
Albania,1993,7,331200,2.11,,1.228.071.038,437,56
Albania,1993,2,169500,1.18,,1.228.071.038,437,57
Albania,1993,1,340300,0.29,,1.228.071.038,437,58
Albania,1993,1,367000,0.27,,1.228.071.038,437,59
Albania,1993,0,39300,0,,1.228.071.038,437,60
Albania,1994,2,24600,8.13,,1.985.673.798,697,61
Albania,1994,11,171400,6.42,,1.985.673.798,697,62
Albania,1994,2,39900,5.01,,1.985.673.798,697,63
Albania,1994,6,231400,2.59,,1.985.673.798,697,64
Albania,1994,9,362800,2.48,,1.985.673.798,697,65
Albania,1994,6,242200,2.48,,1.985.673.798,697,66
Albania,1994,6,282600,2.12,,1.985.673.798,697,67
Albania,1994,4,261100,1.53,,1.985.673.798,697,68
Albania,1994,2,342500,0.58,,1.985.673.798,697,69
Albania,1994,1,174600,0.57,,1.985.673.798,697,70
Albania,1994,1,371800,0.27,,1.985.673.798,697,71
Albania,1994,0,344400,0,,1.985.673.798,697,72
Albania,1995,13,232900,5.58,619,2.424.499.009,835,73
Albania,1995,9,178000,5.06,619,2.424.499.009,835,74
Albania,1995,2,40800,4.9,619,2.424.499.009,835,75
Albania,1995,13,283500,4.59,619,2.424.499.009,835,76
Albania,1995,11,241200,4.56,619,2.424.499.009,835,77
Albania,1995,1,25100,3.98,619,2.424.499.009,835,78
Albania,1995,14,375900,3.72,619,2.424.499.009,835,79
Albania,1995,7,264000,2.65,619,2.424.499.009,835,80
Albania,1995,8,356400,2.24,619,2.424.499.009,835,81
Albania,1995,6,376500,1.59,619,2.424.499.009,835,82
Albania,1995,2,180400,1.11,619,2.424.499.009,835,83
Albania,1995,2,348700,0.57,619,2.424.499.009,835,84
Albania,1996,2,25400,7.87,,3.314.898.292,1127,85
Albania,1996,17,243600,6.98,,3.314.898.292,1127,86
Albania,1996,14,235300,5.95,,3.314.898.292,1127,87
Albania,1996,16,287700,5.56,,3.314.898.292,1127,88
Albania,1996,2,41200,4.85,,3.314.898.292,1127,89
Albania,1996,10,267900,3.73,,3.314.898.292,1127,90
Albania,1996,12,379600,3.16,,3.314.898.292,1127,91
Albania,1996,9,362000,2.49,,3.314.898.292,1127,92
Albania,1996,3,179900,1.67,,3.314.898.292,1127,93
Albania,1996,1,183100,0.55,,3.314.898.292,1127,94
Albania,1996,2,380400,0.53,,3.314.898.292,1127,95
Albania,1996,1,354100,0.28,,3.314.898.292,1127,96
Albania,1997,36,236000,15.25,,2.359.903.108,793,97
Albania,1997,33,244400,13.5,,2.359.903.108,793,98
Albania,1997,3,25400,11.81,,2.359.903.108,793,99
Albania,1997,30,380800,7.88,,2.359.903.108,793,100
Albania,1997,21,294000,7.14,,2.359.903.108,793,101
Albania,1997,12,180300,6.66,,2.359.903.108,793,102
Albania,1997,16,273900,5.84,,2.359.903.108,793,103
Albania,1997,2,42100,4.75,,2.359.903.108,793,104
Albania,1997,7,370100,1.89,,2.359.903.108,793,105
Albania,1997,6,361800,1.66,,2.359.903.108,793,106
Albania,1997,4,381500,1.05,,2.359.903.108,793,107
Albania,1997,0,187000,0,,2.359.903.108,793,108
Albania,1998,3,25800,11.63,,2.707.123.772,899,109
Albania,1998,27,248800,10.85,,2.707.123.772,899,110
Albania,1998,32,295600,10.83,,2.707.123.772,899,111
